iter	Passed	Remaining
402	16170	64079
403	16210	64037
404	16247	63987
405	16289	63952
406	16331	63923
407	16368	63869
408	16403	63809
409	16439	63754
410	16476	63701
411	16510	63635
412	16543	63571
413	16577	63508
414	16613	63453
415	16657	63427
416	16697	63387
417	16734	63336
418	16768	63272
419	16803	63214
420	16837	63152
421	16872	63090
422	16904	63022
423	16940	62966
424	16976	62914
425	17011	62855
426	17047	62798
427	17087	62760
428	17131	62734
429	17169	62689
430	17208	62644
431	17254	62628
432	17292	62580
433	17329	62530
434	17374	62507
435	17414	62468
436	17452	62421
437	17521	62486
438	17570	62478
439	17627	62496
440	17669	62464
441	17709	62423
442	17747	62375
443	17785	62328
444	17822	62280
445	17859	62228
446	17895	62174
447	17931	62120
448	17970	62075
449	18014	62050
450	18056	62016
451	18097	61980
452	18137	61938
453	18182	61917
454	18219	61867
455	18259	61827
456	18302	61796
457	18343	61758
458	18391	61746
459	18433	61712
460	18476	61682
461	18513	61631
462	18553	61591
463	18598	61568
464	18638	61527
465	18692	61533
466	18735	61501
467	18778	61471
468	18815	61421
469	18851	61368
470	18887	61313
471	18923	61261
472	18961	61213
473	18999	61165
474	19035	61113
475	19068	61052
476	19104	60999
477	19138	60939
478	19179	60903
479	19216	60851
480	19258	60817
481	19297	60774
482	19335	60729
483	19376	60693
484	19418	60657
485	19466	60642
486	19503	60592
487	19537	60534
488	19575	60489
489	19613	60441
490	19648	60387
491	19685	60335
492	19719	60279
493	19756	60229
494	19792	60177
495	19827	60122
496	19862	60067
497	19904	60032
498	19937	59973
499	19974	59922
500	20012	59879
501	20051	59833
502	20091	59795
503	20128	59747
504	20172	59718
505	20206	59661
506	20243	59611
507	20281	59565
508	20318	59518
509	20353	59464
510	20388	59408
511	20422	59354
512	20458	59300
513	20505	59283
514	20539	59224
515	20573	59170
516	20608	59115
517	20642	59059
518	20678	59007
519	20715	58959
520	20755	58919
521	20790	58867
522	20826	58815
523	20863	58767
524	20906	58737
525	20946	58698
526	20983	58648
527	21019	58599
528	21054	58547
529	21089	58493
530	21128	58451
531	21168	58412
532	21205	58365
533	21243	58320
534	21279	58269
535	21315	58220
536	21354	58179
537	21394	58138
538	21430	58088
539	21466	58039
540	21506	58000
541	21552	57975
542	21593	57939
543	21631	57897
544	21667	57846
545	21704	57797
546	21743	57757
547	21783	57717
548	21818	57666
549	21859	57630
550	21910	57618
551	21945	57567
552	21986	57531
553	22026	57492
554	22068	57456
555	22104	57407
556	22140	57359
557	22179	57317
558	22215	57268
559	22251	57219
560	22290	57177
561	22326	57127
562	22365	57085
563	22406	57049
564	22445	57006
565	22490	56981
566	22530	56943
567	22580	56928
568	22624	56898
569	22665	56862
570	22705	56823
571	22742	56777
572	22778	56727
573	22816	56683
574	22853	56636
575	22887	56582
576	22927	56543
577	22965	56500
578	23020	56498
579	23057	56450
580	23096	56410
581	23132	56359
582	23170	56316
583	23206	56268
584	23258	56258
585	23295	56211
586	23330	56160
587	23370	56121
588	23407	56075
589	23443	56026
590	23485	55990
591	23521	55944
592	23557	55894
593	23605	55873
594	23643	55830
595	23679	55781
596	23716	55735
597	23755	55695
598	23796	55657
599	23838	55623
600	23877	55581
601	23912	55531
602	23946	55478
603	23983	55431
604	24019	55383
605	24052	55328
606	24085	55274
607	24120	55222
608	24152	55166
609	24184	55109
610	24218	55056
611	24259	55019
612	24299	54981
613	24334	54930
614	24368	54879
615	24401	54825
