iter	MAE	Huber:delta=50
81	47.94445565	1506.971719
82	47.93071223	1506.16308
83	47.89481239	1504.281828
84	47.89830964	1504.000677
85	47.88215733	1502.943323
86	47.84481271	1501.120148
87	47.80534053	1499.186377
88	47.77256639	1497.668052
89	47.73167883	1495.838439
90	47.69827031	1494.210016
91	47.65163049	1491.894669
92	47.59938178	1489.30754
93	47.56572641	1487.570411
94	47.52696023	1485.534185
95	47.49031095	1483.794372
96	47.46229827	1482.420008
97	47.41537818	1480.135642
98	47.38085617	1478.477266
99	47.34829151	1476.910366
100	47.30490506	1474.742485
101	47.28236401	1473.527318
102	47.26072237	1472.42459
103	47.23763292	1471.131468
104	47.21693443	1469.824255
105	47.19208437	1468.486932
106	47.14027413	1465.982818
107	47.11769103	1464.864326
108	47.08157354	1463.027765
109	47.07599235	1462.561123
110	47.04525526	1461.264402
111	47.01387837	1459.773812
112	46.981865	1458.36538
113	46.96358653	1457.548959
114	46.93478171	1456.263893
115	46.89443475	1454.481081
116	46.8526865	1452.504035
117	46.8339271	1451.619749
118	46.81529543	1450.885128
119	46.79732678	1450.015949
120	46.76706653	1448.625408
121	46.72893234	1446.946871
122	46.69000027	1445.150818
123	46.67452718	1444.307532
124	46.63217145	1442.48931
125	46.59736522	1441.016373
126	46.56163473	1439.29855
127	46.54567697	1438.539799
128	46.50044872	1436.579819
129	46.47071586	1435.212802
130	46.45694797	1434.553592
131	46.41301772	1432.521383
132	46.37881424	1431.045062
133	46.34128628	1429.430505
134	46.31623495	1428.123272
135	46.31491773	1427.896742
136	46.28040576	1426.180862
137	46.24350511	1424.496735
138	46.2109918	1422.981951
139	46.19285	1422.096585
140	46.15690742	1420.507103
141	46.13246639	1419.341385
142	46.1060219	1417.978862
143	46.0854769	1416.918919
144	46.03899692	1414.762777
145	46.00632765	1413.07351
146	45.9942626	1412.480559
147	45.96339185	1411.080269
148	45.9499798	1410.40003
149	45.92048975	1409.088251
150	45.88553143	1407.576742
151	45.84469692	1405.622691
152	45.82313244	1404.524669
153	45.79511109	1403.344805
154	45.75472789	1401.622194
155	45.72845939	1400.411329
156	45.69769833	1399.192472
157	45.68027161	1398.308803
158	45.66844199	1397.670986
159	45.64769498	1396.883955
160	45.62297032	1395.756734
161	45.61062511	1395.092894
162	45.5974683	1394.547323
163	45.58704521	1393.96673
164	45.57066116	1393.195202
165	45.54879078	1392.25773
166	45.54268433	1391.907886
167	45.51173177	1390.540597
168	45.50528097	1390.19451
169	45.49299983	1389.607751
170	45.46439588	1388.355208
171	45.4407606	1387.282399
172	45.41054889	1385.918625
173	45.38210908	1384.659316
174	45.37658249	1384.391297
175	45.35274786	1383.339371
176	45.31617943	1381.707187
177	45.30002609	1380.884194
178	45.26339526	1379.40745
179	45.24127687	1378.442236
180	45.21203936	1377.213484
181	45.1963855	1376.545797
182	45.17435271	1375.424507
183	45.13848171	1373.870474
184	45.10816051	1372.574095
185	45.09664415	1371.960875
186	45.08380478	1371.361637
187	45.04719717	1369.520412
188	44.99952835	1367.481658
189	44.97050334	1366.194928
190	44.94010426	1364.777304
191	44.91099122	1363.435745
192	44.88751213	1362.341204
193	44.8474709	1360.548042
194	44.82470735	1359.585526
195	44.7801961	1357.471804
196	44.7603508	1356.533211
197	44.7369963	1355.345513
198	44.71388763	1354.26837
199	44.69481145	1353.491517
200	44.64923498	1351.411454
201	44.61883673	1349.999119
202	44.5812651	1348.220999
203	44.56276788	1347.336443
204	44.52585386	1345.607125
205	44.50036423	1344.407577
206	44.46579937	1342.846049
207	44.43121817	1341.126324
208	44.42288636	1340.723416
209	44.39129399	1339.212571
210	44.36978325	1338.303087
211	44.33185868	1336.457127
212	44.3033187	1335.170667
213	44.26962396	1333.591768
214	44.24659852	1332.560303
215	44.20722607	1330.726084
216	44.18027036	1329.562826
217	44.14586614	1327.951868
218	44.11057339	1326.225395
219	44.07979838	1324.816912
220	44.05344969	1323.724154
221	44.03923195	1323.194948
222	44.01563931	1322.169035
223	43.99177656	1321.199729
224	43.96849872	1320.121806
225	43.94299704	1318.96911
226	43.91725559	1317.738515
227	43.89907571	1316.964634
228	43.88161875	1316.22629
229	43.85935928	1315.190029
230	43.82840143	1313.940598
231	43.82799847	1313.851566
232	43.80004618	1312.625688
233	43.76245567	1310.997891
234	43.76204503	1310.904921
235	43.73009891	1309.527517
236	43.70690593	1308.525849
237	43.68187644	1307.421374
238	43.6414849	1305.553842
239	43.62262406	1304.635354
240	43.57717854	1302.515662
241	43.54551018	1301.117697
242	43.51159398	1299.804579
243	43.48727775	1298.686213
244	43.46444232	1297.713098
245	43.43710677	1296.458497
246	43.41659418	1295.690101
247	43.38447784	1294.361849
248	43.36181708	1293.23269
249	43.34455373	1292.441341
250	43.32509225	1291.478991
251	43.30327727	1290.584082
252	43.29156969	1290.023579
253	43.27000464	1289.091502
254	43.25536782	1288.447431
255	43.22886885	1287.224198
256	43.21434593	1286.630536
257	43.17554704	1285.115773
258	43.15677268	1284.268054
259	43.13012806	1283.155719
260	43.09743283	1281.890172
261	43.07604616	1280.898317
262	43.07362993	1280.768067
263	43.04498066	1279.518345
264	43.0187228	1278.363793
265	42.99284599	1277.150181
266	42.97424338	1276.441279
267	42.96465915	1275.942913
268	42.95353624	1275.48521
269	42.9399953	1274.971389
270	42.93661865	1274.838849
271	42.92748313	1274.410924
272	42.89929096	1273.168628
273	42.87942552	1272.275818
274	42.87646597	1272.124397
275	42.87199272	1271.934941
276	42.87002598	1271.798952
277	42.83851196	1270.475344
278	42.83712808	1270.386263
279	42.81187089	1269.297345
280	42.78880722	1268.291906
281	42.78268116	1267.995292
282	42.7485451	1266.546128
283	42.74113582	1266.252879
284	42.72019935	1265.270042
285	42.71449194	1264.981504
286	42.70350073	1264.552766
287	42.68584523	1263.84454
288	42.68558411	1263.787587
289	42.68362855	1263.679053
290	42.6807065	1263.52452
291	42.67767775	1263.401714
292	42.66132101	1262.644331
293	42.64835436	1262.050132
294	42.6261627	1261.087508
295	42.61676827	1260.750529
296	42.60931306	1260.4409
297	42.59925715	1260.134342
298	42.58620705	1259.623606
299	42.57507363	1259.191083
300	42.55963934	1258.508621
301	42.55655164	1258.399299
302	42.55201305	1258.187239
303	42.55295963	1258.152939
304	42.54838436	1257.913618
305	42.53823595	1257.542423
306	42.52382231	1256.894137
307	42.52254843	1256.832034
308	42.51970738	1256.670052
309	42.52045053	1256.644694
310	42.51328405	1256.320063
311	42.50617958	1256.022976
312	42.5019058	1255.830335
313	42.49705001	1255.575155
314	42.49244971	1255.389656
315	42.48766795	1255.186387
316	42.47185878	1254.598063
317	42.45180583	1253.724254
318	42.44777726	1253.565825
319	42.43982921	1253.275661
320	42.42753533	1252.734747
321	42.42286659	1252.546666
322	42.42364121	1252.528418
323	42.40784762	1251.966871
324	42.40469138	1251.85813
325	42.38470919	1250.989753
326	42.38462397	1250.943977
327	42.38158512	1250.838237
328	42.38052513	1250.750838
329	42.3727294	1250.403581
330	42.37097491	1250.315589
331	42.367193	1250.144639
332	42.36064704	1249.804879
333	42.35605393	1249.587747
334	42.35464821	1249.465461
335	42.35063091	1249.280205
336	42.35111103	1249.264087
337	42.33643334	1248.517587
338	42.33292613	1248.352533
339	42.30942269	1247.386713
340	42.30637057	1247.273222
341	42.27656336	1246.020478
342	42.27698333	1246.005644
343	42.26027733	1245.194064
344	42.24819448	1244.620562
345	42.24335271	1244.378358
346	42.23202326	1243.948482
347	42.23036418	1243.846213
348	42.23081431	1243.83118
349	42.22541468	1243.553826
350	42.22018825	1243.305401
351	42.21175701	1243.009848
352	42.20699078	1242.711053
353	42.2019772	1242.507402
354	42.2021199	1242.48004
355	42.19991906	1242.408579
356	42.19639961	1242.258761
357	42.1954257	1242.215445
358	42.18663099	1241.846824
359	42.18697836	1241.828726
360	42.18071915	1241.60914
361	42.15034551	1240.267052
362	42.14609634	1240.081732
363	42.1465499	1240.065032
364	42.11893317	1238.903384
365	42.10749877	1238.373374
366	42.10462591	1238.22982
367	42.1003994	1238.090675
368	42.09481927	1237.865121
369	42.08863297	1237.661418
370	42.08537539	1237.488671
371	42.08348012	1237.421404
372	42.08134027	1237.274334
373	42.08044101	1237.221295
374	42.07813372	1237.074667
375	42.07735857	1237.039381
376	42.07252184	1236.865575
377	42.06643898	1236.603898
378	42.06594765	1236.545201
379	42.06192558	1236.363514
380	42.04010564	1235.678221
381	42.037599	1235.561636
382	42.03473239	1235.46372
383	42.03132623	1235.315881
384	42.01866354	1234.918527
385	42.01257179	1234.671834
386	42.00752092	1234.441123
387	42.00089335	1234.207466
388	41.96746235	1232.747025
389	41.95830659	1232.408991
390	41.95711389	1232.3572
391	41.95030905	1232.087286
392	41.94527118	1231.937929
393	41.9277912	1231.331216
394	41.9227129	1231.088608
395	41.91545824	1230.859715
396	41.91141571	1230.724809
397	41.91084577	1230.684605
398	41.90768487	1230.492906
399	41.88097375	1229.380969
400	41.87227438	1229.126935
401	41.87112516	1229.053573
402	41.86555918	1228.818378
403	41.86147737	1228.657792
404	41.85786345	1228.484647
405	41.85510836	1228.335723
406	41.84452739	1227.847985
407	41.83862739	1227.628726
408	41.83218721	1227.352729
409	41.82434398	1227.036813
410	41.81344349	1226.620355
411	41.80716663	1226.355096
412	41.80448881	1226.211396
413	41.75427653	1224.020473
414	41.75140496	1223.925686
415	41.75145117	1223.892257
416	41.74015296	1223.448316
417	41.73691277	1223.34314
418	41.73063541	1223.080888
419	41.70551541	1222.030983
420	41.70245808	1221.766372
421	41.69803415	1221.551525
422	41.69478384	1221.394907
423	41.69261101	1221.319576
424	41.68506213	1221.072783
425	41.68299508	1220.993325
426	41.64667825	1219.431689
427	41.6447149	1219.364864
428	41.62193881	1218.384401
429	41.61737246	1218.202305
430	41.59794173	1217.342835
431	41.59436032	1217.187542
432	41.59222426	1217.112568
433	41.59219226	1217.083963
434	41.58529173	1216.85876
435	41.56970539	1216.290589
436	41.56912669	1216.270268
437	41.5663592	1216.167559
438	41.56365558	1216.03771
439	41.56170772	1215.908226
440	41.55752746	1215.735694
441	41.55728358	1215.714988
442	41.55555534	1215.63253
443	41.5504995	1215.491721
444	41.51827073	1214.054949
445	41.50469416	1213.531504
446	41.50476718	1213.492523
447	41.50387867	1213.449189
448	41.50262622	1213.390543
449	41.4984243	1213.152974
450	41.48468595	1212.675878
451	41.46957099	1212.015009
452	41.46047523	1211.698275
453	41.45930391	1211.625925
454	41.45161978	1211.275805
455	41.44877634	1211.181337
456	41.43873323	1210.68459
457	41.43339077	1210.533958
458	41.43103322	1210.440936
459	41.42490429	1210.181496
460	41.42250603	1210.05136
461	41.4115338	1209.626225
462	41.40134351	1209.313998
463	41.40069729	1209.255166
464	41.3877272	1208.711685
465	41.38668699	1208.684015
466	41.38571365	1208.637813
467	41.38455008	1208.57393
468	41.36344199	1207.647429
469	41.35869912	1207.427342
470	41.35733841	1207.351022
471	41.35048589	1207.066111
472	41.35045911	1206.973529
473	41.34867804	1206.880889
474	41.34550456	1206.779273
475	41.34142973	1206.580938
476	41.33652922	1206.406705
477	41.32423644	1205.875442
478	41.32013089	1205.747902
479	41.31927918	1205.700122
480	41.30313021	1204.957352
481	41.30056214	1204.82325
482	41.29936258	1204.791714
483	41.29332733	1204.564113
484	41.29152324	1204.462724
485	41.28813484	1204.367194
486	41.2853074	1204.243828
487	41.27925774	1203.984732
488	41.27583722	1203.860201
489	41.27088546	1203.704581
490	41.2711646	1203.697639
491	41.25720075	1203.241115
492	41.25655993	1203.175633
493	41.24204968	1202.647988
494	41.2346955	1202.343006
495	41.23390803	1202.299716
496	41.23008503	1202.155599
497	41.22912957	1202.108031
498	41.22582406	1201.940898
499	41.22484101	1201.880423
500	41.21679639	1201.575612
501	41.20750469	1201.220253
502	41.20458354	1201.087523
503	41.19466765	1200.713726
504	41.18596088	1200.407416
505	41.18463741	1200.349761
506	41.17628904	1200.033666
507	41.17248539	1199.865832
508	41.16630047	1199.579268
509	41.14622138	1198.535902
510	41.11989919	1197.42943
511	41.08996306	1196.344664
512	41.08724202	1196.259729
513	41.08667102	1196.209617
514	41.06114351	1195.014629
515	41.02461855	1193.354484
516	40.99160702	1192.009838
517	40.98576874	1191.826016
518	40.98328318	1191.719171
519	40.98022225	1191.62715
520	40.97910933	1191.560713
521	40.97643418	1191.44733
522	40.92907866	1189.450926
523	40.92016651	1189.126711
524	40.92014373	1189.040525
525	40.91851235	1188.947305
526	40.91802906	1188.864679
527	40.91684516	1188.772676
528	40.90019915	1188.02643
529	40.89657789	1187.886481
530	40.89193304	1187.723611
531	40.88829209	1187.574585
532	40.88743224	1187.497269
533	40.87060752	1186.748098
534	40.86743178	1186.60845
535	40.84938331	1185.782462
536	40.84384933	1185.606409
537	40.83645231	1185.227635
538	40.8361688	1185.179301
539	40.82562303	1184.681391
540	40.82027808	1184.423845
541	40.81671341	1184.273455
542	40.80939895	1183.978151
543	40.80767069	1183.880517
544	40.80647588	1183.817917
545	40.80173527	1183.593625
546	40.8009587	1183.545426
547	40.79402862	1183.237455
548	40.77795843	1182.504594
549	40.76899858	1182.122083
550	40.76640867	1182.003049
551	40.75493384	1181.508829
552	40.7503768	1181.315149
553	40.74943456	1181.223959
554	40.7126721	1179.561704
555	40.71148182	1179.504041
556	40.71032677	1179.454168
557	40.70428429	1179.214276
558	40.70052045	1179.057366
559	40.67746889	1177.965568
560	40.65319217	1176.9238
561	40.63541175	1175.99072
562	40.62363726	1175.513876
563	40.62272468	1175.472378
564	40.61821217	1175.258842
565	40.61467369	1175.087163
566	40.61190922	1174.961241
567	40.60827621	1174.817583
568	40.60093057	1174.498987
569	40.58652096	1173.973407
570	40.5848513	1173.889406
571	40.57635752	1173.5209
572	40.53405944	1171.730269
573	40.52462713	1171.366417
574	40.52075624	1171.238565
575	40.52063244	1171.2066
576	40.5176885	1171.108754
577	40.48031282	1169.909109
578	40.47312326	1169.701616
579	40.46583179	1169.311832
580	40.46534737	1169.249278
581	40.46497643	1169.214535
582	40.45987778	1169.037186
583	40.45685169	1168.918067
584	40.45510709	1168.823058
585	40.4369422	1168.209516
586	40.43649292	1168.179203
587	40.42312249	1167.665942
588	40.42284415	1167.614019
589	40.42174801	1167.565976
590	40.42201516	1167.553104
591	40.42010184	1167.501071
592	40.39478289	1166.38653
593	40.37274557	1165.422548
594	40.36742934	1165.169396
595	40.36534442	1165.030387
596	40.36436395	1164.945236
597	40.35141386	1164.460364
598	40.34417293	1164.126544
599	40.34317235	1164.067258
600	40.31706072	1163.035311
601	40.31605993	1162.985066
602	40.30795954	1162.689022
603	40.30617294	1162.603898
604	40.28538088	1161.65396
605	40.28271054	1161.540639
606	40.27874009	1161.398322
607	40.25122812	1160.047646
608	40.23580188	1159.287878
609	40.23499557	1159.231775
610	40.23101038	1159.083815
611	40.2256263	1158.857476
612	40.21901547	1158.601206
613	40.21336685	1158.424016
614	40.20873196	1158.235663
615	40.19269832	1157.527064
616	40.18943572	1157.396204
617	40.1810703	1157.092792
618	40.18029017	1156.998862
619	40.177613	1156.91902
620	40.1667643	1156.35962
621	40.16673028	1156.334308
622	40.16474539	1156.214788
623	40.15992339	1156.053142
624	40.1489616	1155.599875
625	40.14688966	1155.507514
626	40.14722712	1155.49735
627	40.14071264	1155.259031
628	40.13857444	1155.176079
629	40.1366496	1155.118519
630	40.13553381	1155.048246
631	40.11974711	1154.446346
632	40.11934377	1154.40248
633	40.10415355	1153.6742
634	40.09227689	1153.269481
635	40.0908633	1153.221441
636	40.07741273	1152.649118
637	40.07624179	1152.543261
638	40.06325303	1151.945441
639	40.0429268	1151.061908
640	40.02693049	1150.333514
641	40.02200237	1150.087257
642	40.02000753	1149.990303
643	40.01335974	1149.725672
644	39.99132638	1148.833354
645	39.96496462	1147.923107
646	39.96564512	1147.905053
647	39.95111899	1147.323667
648	39.92985237	1146.525947
649	39.92745088	1146.443505
650	39.90644152	1145.806572
651	39.88776858	1144.99427
652	39.88232557	1144.732507
653	39.86999589	1144.170602
654	39.86888448	1144.083607
655	39.86213146	1143.850096
656	39.85536978	1143.568601
657	39.8541166	1143.522272
658	39.84509215	1143.161322
659	39.82816794	1142.635771
660	39.82453214	1142.424623
661	39.82324062	1142.325834
662	39.82115762	1142.253243
663	39.81528081	1142.092993
664	39.81397632	1142.035744
665	39.81374248	1141.962196
666	39.81290794	1141.927706
667	39.80489374	1141.723598
668	39.80061356	1141.543756
669	39.79746864	1141.423371
670	39.79289991	1141.254438
671	39.78421955	1140.912626
672	39.78157732	1140.774891
673	39.77610395	1140.532026
674	39.75955795	1139.855568
675	39.75340485	1139.691335
676	39.74935486	1139.52385
677	39.73559279	1139.151184
678	39.71267098	1138.32339
679	39.70687221	1138.186036
680	39.70035613	1137.961276
681	39.69160203	1137.705184
682	39.66412594	1136.683225
683	39.65899946	1136.453402
684	39.6509052	1136.17006
685	39.63882118	1135.709594
686	39.63656359	1135.628348
687	39.62169137	1135.02944
688	39.62146654	1134.99036
689	39.60409848	1134.356624
690	39.59054148	1133.831649
691	39.59045199	1133.79788
692	39.58709979	1133.650682
693	39.57527718	1133.261598
694	39.55608469	1132.549605
695	39.55398347	1132.490713
696	39.54074012	1131.993164
697	39.53894311	1131.925637
698	39.52745384	1131.492375
699	39.52444048	1131.353575
700	39.52071903	1131.226286
701	39.51407857	1130.952748
702	39.50965505	1130.789249
703	39.49422602	1130.171192
704	39.48555435	1129.928484
705	39.48490071	1129.893067
706	39.47612254	1129.616477
707	39.46515443	1129.120575
708	39.46384451	1129.080947
709	39.4484457	1128.488285
710	39.44068722	1128.191075
711	39.4333606	1127.904005
712	39.43344802	1127.890588
713	39.42482171	1127.634183
714	39.41204283	1127.192607
715	39.41098576	1127.150074
716	39.40216289	1126.87116
717	39.39252635	1126.422134
718	39.38848351	1126.321985
719	39.38225538	1126.088415
720	39.36980293	1125.634834
721	39.36969531	1125.604312
722	39.36577919	1125.404639
723	39.35058938	1124.894108
724	39.34974423	1124.862695
725	39.34642679	1124.742249
726	39.34454787	1124.690131
727	39.33578845	1124.314356
728	39.33137632	1124.185718
729	39.32808167	1124.016238
730	39.32345997	1123.82517
731	39.31155327	1123.400835
732	39.31093829	1123.361156
733	39.308299	1123.281839
734	39.29818919	1122.900251
735	39.27735063	1122.163077
736	39.27203083	1122.018641
737	39.25744006	1121.468137
738	39.2461773	1121.07044
739	39.23514757	1120.683612
740	39.22389101	1120.345309
741	39.22376405	1120.310481
742	39.2216241	1120.205649
743	39.2079904	1119.743224
744	39.19591035	1119.345925
745	39.19446131	1119.264434
746	39.18425821	1118.866388
747	39.18390706	1118.847221
748	39.18000369	1118.616675
749	39.1757355	1118.493331
750	39.1589666	1117.833189
751	39.15717456	1117.712524
752	39.15000375	1117.446132
753	39.14029227	1116.978425
754	39.13179652	1116.688321
755	39.11357342	1116.150436
756	39.10422936	1115.741686
757	39.10310969	1115.69053
758	39.090277	1115.232659
759	39.08310902	1114.993217
760	39.0758458	1114.723567
761	39.06104559	1114.087799
762	39.05052925	1113.720568
763	39.03989358	1113.269211
764	39.02796138	1112.876253
765	39.02774323	1112.844611
766	39.02340424	1112.654176
767	39.0093623	1112.044962
768	39.00316247	1111.812539
769	38.99430784	1111.482002
770	38.98671461	1111.222168
771	38.98279419	1111.07409
772	38.97606812	1110.817444
773	38.97283346	1110.703697
774	38.96690012	1110.544319
775	38.96636231	1110.504305
776	38.96410802	1110.443698
777	38.94288386	1109.559566
778	38.93617651	1109.259096
779	38.93605049	1109.227451
780	38.92486025	1108.754819
781	38.9127931	1108.301224
782	38.9093535	1108.185559
783	38.90706481	1108.078193
784	38.88666234	1107.222279
785	38.87942379	1106.841666
786	38.87271643	1106.635396
787	38.87154982	1106.585934
788	38.86509671	1106.399842
789	38.85451383	1105.947457
790	38.85086501	1105.799496
791	38.8473407	1105.723319
792	38.84365625	1105.583891
793	38.83499767	1105.309875
794	38.82995707	1105.108136
795	38.81697695	1104.599447
796	38.81476894	1104.496176
797	38.80189519	1104.026164
798	38.7961868	1103.833063
799	38.77002485	1102.887052
800	38.76547591	1102.685617
801	38.7621291	1102.543186
802	38.75243432	1102.228346
803	38.7494696	1102.148718
804	38.72936124	1101.357657
805	38.72381661	1101.053497
806	38.72165789	1100.953229
807	38.71347962	1100.645332
808	38.71236792	1100.583024
809	38.71090587	1100.50929
810	38.7112127	1100.487225
811	38.70184627	1100.169848
812	38.69923528	1100.110041
813	38.68935508	1099.71754
814	38.68764627	1099.639348
815	38.68283087	1099.514067
816	38.67392493	1099.148484
817	38.67365279	1099.133378
818	38.66290769	1098.708176
819	38.6512981	1098.168014
820	38.64535161	1097.919496
821	38.64486341	1097.867831
822	38.64030802	1097.691411
823	38.63557353	1097.537683
824	38.62714694	1097.188803
825	38.62488042	1097.084048
826	38.6183844	1096.738784
827	38.61462429	1096.539154
828	38.60804716	1096.261317
829	38.60173762	1096.05143
830	38.59580456	1095.805313
831	38.59558272	1095.783555
832	38.58912009	1095.580161
833	38.58644547	1095.438099
834	38.57487104	1094.964771
835	38.56652756	1094.686268
836	38.56653187	1094.668792
837	38.55922681	1094.40657
838	38.55523833	1094.300414
839	38.55131181	1094.135345
840	38.54892637	1094.080201
841	38.54905694	1094.062576
842	38.54548435	1093.957344
843	38.54426165	1093.930773
844	38.53605341	1093.620395
845	38.52793594	1093.296701
846	38.52221864	1093.119504
847	38.52129362	1093.098017
848	38.51199672	1092.76898
849	38.50041507	1092.389056
850	38.49710688	1092.280643
851	38.47861733	1091.63199
852	38.47696121	1091.557682
853	38.47589551	1091.519983
854	38.45926806	1090.857871
855	38.44802122	1090.43525
856	38.44628299	1090.381185
857	38.44522285	1090.348152
858	38.44234879	1090.174678
859	38.42350065	1089.410678
860	38.41176013	1088.95312
861	38.40983554	1088.87465
862	38.4043672	1088.664014
863	38.37865512	1087.67301
864	38.36774487	1087.287561
865	38.36047593	1086.984851
866	38.35526385	1086.812545
867	38.35252871	1086.696507
868	38.34468024	1086.266619
869	38.32908617	1085.633641
870	38.32113375	1085.328203
871	38.32049047	1085.296141
872	38.30465005	1084.775384
873	38.2951978	1084.395915
874	38.28761324	1084.07856
875	38.2783631	1083.823283
876	38.27888012	1083.790258
877	38.27175156	1083.437358
878	38.25461245	1082.859566
879	38.25515569	1082.83031
880	38.2437794	1082.367368
881	38.22684156	1081.71591
882	38.2086419	1081.05078
883	38.19729931	1080.659418
884	38.19462758	1080.580163
885	38.19218414	1080.505413
886	38.19214496	1080.493605
887	38.18973649	1080.390513
888	38.18376193	1080.10828
889	38.17573532	1079.889559
890	38.17238964	1079.769033
891	38.1690161	1079.659042
892	38.15320224	1079.015627
893	38.14893394	1078.833013
894	38.14571164	1078.72757
895	38.14614968	1078.710129
896	38.13859621	1078.455327
897	38.13617782	1078.368408
898	38.12642705	1078.026986
899	38.11490793	1077.562817
900	38.10481998	1077.131793
901	38.0997439	1076.946034
902	38.09816931	1076.857205
903	38.08798729	1076.548074
904	38.0838983	1076.405584
905	38.07719563	1076.172999
906	38.07218636	1075.982234
907	38.06899569	1075.909779
908	38.05516805	1075.46677
909	38.05446577	1075.438679
910	38.05296132	1075.353894
911	38.05142714	1075.283305
912	38.03918861	1074.766354
913	38.03302528	1074.538751
914	38.03135427	1074.474741
915	38.03057636	1074.456444
916	38.01730978	1074.005947
917	38.01718739	1073.994262
918	38.0160684	1073.89719
919	38.01466	1073.752825
920	38.004489	1073.399802
921	37.99920144	1073.178241
922	37.997439	1073.063673
923	37.99597905	1073.015959
924	37.99039693	1072.768579
925	37.9906631	1072.751461
926	37.98465668	1072.545009
927	37.97975722	1072.399755
928	37.97979474	1072.391321
929	37.96614888	1071.963488
930	37.96500968	1071.93047
931	37.96352	1071.875303
932	37.95893037	1071.713573
933	37.95807171	1071.675498
934	37.95394202	1071.507705
935	37.9544732	1071.492041
936	37.95193094	1071.443221
937	37.95178019	1071.43681
938	37.94733835	1071.227801
939	37.94697882	1071.208018
940	37.94397316	1071.081961
941	37.93190549	1070.679457
942	37.93010013	1070.575217
943	37.9288027	1070.52713
944	37.92380173	1070.334872
945	37.92421052	1070.320218
946	37.9164993	1070.039748
947	37.91330885	1069.943195
948	37.90979598	1069.81957
949	37.90248906	1069.468891
950	37.9008469	1069.353546
951	37.88639195	1068.706202
952	37.88616641	1068.685202
953	37.87116944	1068.20984
954	37.86782018	1068.072529
955	37.86344321	1067.852074
956	37.86151928	1067.772784
957	37.84933674	1067.279453
958	37.84941823	1067.266173
959	37.84564589	1067.06978
960	37.83815198	1066.805369
961	37.83701357	1066.754103
962	37.83010247	1066.513624
963	37.82999802	1066.493556
964	37.8160276	1065.916288
965	37.81347116	1065.847554
966	37.80452325	1065.540588
967	37.80191977	1065.473206
968	37.79986185	1065.396876
969	37.79597353	1065.286251
970	37.79500763	1065.231541
971	37.79219359	1065.121735
972	37.7910101	1065.070506
973	37.78453705	1064.76002
974	37.77209538	1064.338866
975	37.76993643	1064.273754
976	37.76471369	1064.091518
977	37.76381568	1064.046942
978	37.76315245	1064.025824
979	37.76073844	1063.916873
980	37.75880303	1063.864188
981	37.743623	1063.232297
982	37.74169604	1063.173675
983	37.74070023	1063.153202
984	37.73615743	1063.048616
985	37.72155543	1062.534865
986	37.72146534	1062.500727
987	37.72078312	1062.48044
988	37.71469787	1062.258932
989	37.70276799	1061.84802
990	37.70125839	1061.813571
991	37.6883302	1061.258801
992	37.68627648	1061.20169
993	37.681346	1060.977879
994	37.67836021	1060.854133
995	37.65731116	1060.099161
996	37.65725762	1060.089792
997	37.65265182	1059.960179
