iter	Logloss
0	0.6894156656
1	0.6832106042
2	0.6776821329
3	0.6728637166
4	0.6679905524
5	0.6633470942
6	0.6585163742
7	0.6542776377
8	0.6509719134
9	0.6470455055
10	0.6433151763
11	0.6396616513
12	0.6363706266
13	0.6328007147
14	0.6296759173
15	0.6272249637
16	0.6245555909
17	0.6222342459
18	0.6198113994
19	0.6173933878
20	0.6152184591
21	0.613176786
22	0.6116816653
23	0.6097118033
24	0.6078971475
25	0.6061286643
26	0.6045218547
27	0.603743582
28	0.6019352034
29	0.6004025158
30	0.599093113
31	0.5975647572
32	0.596164309
33	0.5947803761
34	0.593318321
35	0.5916843935
36	0.5903804614
37	0.5891336644
38	0.5881796899
39	0.5870906599
40	0.586007289
41	0.5850086522
42	0.5838444201
43	0.5827154522
44	0.5817262752
45	0.5810754011
46	0.5801896719
47	0.5792503861
48	0.5783089522
49	0.5774496353
50	0.576859049
51	0.5758993502
52	0.5750446061
53	0.5743072914
54	0.5737930416
55	0.5729121184
56	0.5721839766
57	0.5715719959
58	0.571392976
59	0.5703455668
60	0.5696657749
61	0.5689385683
62	0.5682930559
63	0.5673271323
64	0.566501639
65	0.565829302
66	0.565293206
67	0.5644668313
68	0.5635933511
69	0.5631271819
70	0.5621734567
71	0.5613509386
72	0.5607129693
73	0.5600613188
74	0.5594084637
75	0.5583062322
76	0.5578120857
77	0.5567636308
78	0.5563196828
79	0.5555789807
80	0.5552016813
81	0.5546189134
82	0.5541092049
83	0.5534916356
84	0.5527666057
85	0.5522096968
86	0.5516856669
87	0.5511890759
88	0.5503970497
89	0.5499028724
90	0.5495555753
91	0.5492741143
92	0.5487375586
93	0.5482969655
94	0.5476672156
95	0.547386469
96	0.5468725541
97	0.5465527809
98	0.5463747645
99	0.5458894565
100	0.545594557
101	0.5448878494
102	0.5446194
103	0.5443367254
104	0.5436680378
105	0.5431028598
106	0.5427020787
107	0.5423674465
108	0.5418716177
109	0.5413506981
110	0.5408542539
111	0.5402663563
112	0.5402556637
113	0.5394876789
114	0.5394211126
115	0.5394136731
116	0.5388743223
117	0.5388701475
118	0.538623292
119	0.5383196688
120	0.5375631502
121	0.5372347939
122	0.5369432177
123	0.5365076217
124	0.5360514408
125	0.535507706
126	0.5354598298
127	0.5345011051
128	0.5338332022
129	0.5336469673
130	0.5327514647
131	0.5323008453
132	0.5318863136
133	0.5314384184
134	0.5309098686
135	0.530602256
136	0.5302843345
137	0.5296975567
138	0.5293837411
139	0.5291367758
140	0.5286930711
141	0.528329162
142	0.5280101577
143	0.5277259706
144	0.5273970544
145	0.5270327082
146	0.5265596281
147	0.5262314363
148	0.5256870502
149	0.5254326924
150	0.5248933931
151	0.5245484852
152	0.5240817893
153	0.5235842675
154	0.5233311417
155	0.5231487414
156	0.5231455978
157	0.5227361867
158	0.5221241291
159	0.5213061274
160	0.5207575083
161	0.5203074485
162	0.519775423
163	0.5191304651
164	0.5188776769
165	0.5186017128
166	0.5178974003
167	0.5171227045
168	0.5164213036
169	0.5161457196
170	0.5156168193
171	0.515277713
172	0.5150685425
173	0.5148431761
174	0.514109378
175	0.5138881525
176	0.5134271526
177	0.5130301278
178	0.5125535175
179	0.5120494327
180	0.5113162746
181	0.511000978
182	0.5104336673
183	0.5096299127
184	0.5090379972
185	0.5085706199
186	0.5084014743
187	0.5080269028
188	0.5078017819
189	0.507214589
190	0.5067533335
191	0.506410409
192	0.5060266672
193	0.505786159
194	0.5054819909
195	0.5048476967
196	0.5046126037
197	0.5042995569
198	0.5040310028
199	0.5036354028
200	0.5032976523
201	0.5028949961
202	0.502229486
203	0.5022281979
204	0.5022265249
205	0.5019898053
206	0.501732849
207	0.5011669305
208	0.5004292018
209	0.5002667501
210	0.4998636915
211	0.4993898689
212	0.4992019986
213	0.4986153067
214	0.4983259397
215	0.4980706713
216	0.497634108
217	0.4973256197
218	0.4969377655
219	0.49637858
220	0.4961414782
221	0.4957088845
222	0.4951392922
223	0.4948057292
224	0.4945102869
225	0.4942581807
226	0.4941055467
227	0.4934081593
228	0.4930728631
229	0.4927394315
230	0.4921836274
231	0.491646471
232	0.4908288871
233	0.4905261195
234	0.4899116254
235	0.4893814783
236	0.4889125603
237	0.4883516609
238	0.4876816704
239	0.4873775833
240	0.4870002468
241	0.4865547218
242	0.486305456
243	0.4857573293
244	0.4851680717
245	0.4842645653
246	0.4841487649
247	0.4839136802
248	0.4836101075
249	0.4829989081
250	0.4828348327
251	0.4826167512
252	0.4820448071
253	0.4817825004
254	0.4812858199
255	0.4807943377
256	0.4805505355
257	0.4801444412
258	0.4794810964
259	0.4791855446
260	0.4789112276
261	0.4783563765
262	0.4779038038
263	0.4777216346
264	0.4771772843
265	0.4766212606
266	0.4765851121
267	0.4762107753
268	0.4757611177
269	0.4753405394
270	0.4748518275
271	0.4744686706
272	0.4743270258
273	0.4741867501
274	0.4734691859
275	0.4729393575
276	0.4723929523
277	0.4721791451
278	0.4716339607
279	0.4714468244
280	0.4712878711
281	0.4709653877
282	0.4707934998
283	0.4703489434
284	0.4696953856
285	0.4695730396
286	0.4692961914
287	0.4688835256
288	0.4687282962
289	0.4683961982
290	0.468166661
291	0.4675272371
292	0.4671290021
293	0.4665761343
294	0.4662392994
295	0.4658908416
296	0.4656184948
297	0.4651407631
298	0.4648500885
299	0.4645960706
300	0.4644328548
301	0.4640022822
302	0.4638260696
303	0.4632825236
304	0.462996758
305	0.4624110973
306	0.4620553751
307	0.4617768715
308	0.4616670192
309	0.4612808734
310	0.4608091212
311	0.4605398369
312	0.4604524162
313	0.4602080676
314	0.4599053729
315	0.4595744171
316	0.4590476917
317	0.4585581097
318	0.4582108676
319	0.4578022877
320	0.4574142838
321	0.4570060798
322	0.4566878903
323	0.4562842689
324	0.4559498222
325	0.4556591161
326	0.4556575425
327	0.4554892371
328	0.4548987332
329	0.454589489
330	0.4540761076
331	0.4536150993
332	0.4531232234
333	0.4527565728
334	0.4523105069
335	0.4519026633
336	0.4515492251
337	0.4510933357
338	0.4505573741
339	0.4502287957
340	0.4497547424
341	0.449465871
342	0.449214157
343	0.4490008187
344	0.4486585358
345	0.4483878734
346	0.4477576975
347	0.4473553467
348	0.4471082051
349	0.4467649467
350	0.4464887482
351	0.4460932294
352	0.4455644416
353	0.445161354
354	0.4446669634
355	0.4444223872
356	0.4438779971
357	0.4438768583
358	0.4436202932
359	0.4432761204
360	0.4431620878
361	0.4429288178
362	0.4427572136
363	0.4425846403
364	0.4421942907
365	0.4415246373
366	0.4409965136
367	0.4408910231
368	0.4407839525
369	0.4404322676
370	0.4400606649
371	0.4396985896
372	0.4395330263
373	0.439126391
374	0.4390022811
375	0.4387378813
376	0.4382411273
377	0.4380894812
378	0.4379548368
379	0.4376885616
380	0.4374135402
381	0.4372484854
382	0.4370057357
383	0.4367403224
384	0.4366492652
385	0.4362965745
386	0.4360551365
387	0.4356969512
388	0.43567369
389	0.4354394173
390	0.435245144
391	0.4349396481
392	0.4345370974
393	0.4341405265
394	0.4338067051
395	0.4334848111
396	0.433025448
397	0.4327995211
398	0.4326097729
399	0.4324838017
400	0.432403371
401	0.4321651898
402	0.4317306335
403	0.4315790792
404	0.431293575
405	0.4310820097
406	0.4307587949
407	0.4304694679
408	0.4303399737
409	0.4302021343
410	0.4297324267
411	0.4292672611
412	0.4290452694
413	0.428173916
414	0.4278447392
415	0.4273586167
416	0.4272281361
417	0.4270809273
418	0.4267755
419	0.4260329812
420	0.4255773804
421	0.4252864326
422	0.4248447814
423	0.4246226824
424	0.4244810686
425	0.4239781803
426	0.4234573942
427	0.4230821624
428	0.4225335645
429	0.4222255304
430	0.4219014159
431	0.4216629202
432	0.4214532162
433	0.421382228
434	0.4211573908
435	0.4210486136
436	0.4207234647
437	0.4200699191
438	0.4195461433
439	0.4193145889
440	0.4189519769
441	0.4184191965
442	0.4180548941
443	0.4177577853
444	0.4173460179
445	0.4169637059
446	0.4167997827
447	0.4164417729
448	0.4163177067
449	0.4160987018
450	0.4158150505
451	0.4155402121
452	0.414928173
453	0.4149060177
454	0.4147123189
455	0.4145327194
456	0.4143232507
457	0.4140557459
458	0.4134821466
459	0.4132809809
460	0.4129213287
461	0.4126796907
462	0.4123942107
463	0.4121461307
464	0.4117712316
465	0.4114597786
466	0.4110498179
467	0.4108936663
468	0.4105900164
469	0.4102507622
470	0.4101910987
471	0.4100448859
472	0.4098542553
473	0.4092318252
474	0.4090616007
475	0.4086982127
476	0.4083551506
477	0.4082072654
478	0.4079505511
479	0.4073873829
480	0.4073551704
481	0.4070663567
482	0.4067859093
483	0.4061197762
484	0.4058544107
485	0.4055879979
486	0.4054415417
487	0.4050257966
488	0.404806964
489	0.4045795311
490	0.4044713245
491	0.4042007924
492	0.4039444869
493	0.40374622
494	0.4035038164
495	0.4033100458
496	0.4028932541
497	0.4028851592
498	0.4024763911
499	0.401831491
500	0.4016491698
501	0.4013842702
502	0.4010825232
503	0.4009543852
504	0.4005267372
505	0.4003829789
506	0.3998650883
507	0.399505916
508	0.3992405047
509	0.3990425538
510	0.3986711987
511	0.3981700343
512	0.3979310901
513	0.3976685995
514	0.3971679548
515	0.3966487609
516	0.3964056025
517	0.3961021259
518	0.3957165648
519	0.3955696404
520	0.3950003797
521	0.3947665016
522	0.3942203732
523	0.3938829514
524	0.3937488976
525	0.3935562952
526	0.3933310218
527	0.3929348841
528	0.3924342632
529	0.3921604114
530	0.3917557837
531	0.3916684472
532	0.3912525754
533	0.3910414476
534	0.3907008822
535	0.3904070653
536	0.390170912
537	0.3900985529
538	0.3899448146
539	0.3896990299
540	0.3895502284
541	0.3890290947
542	0.3889710952
543	0.3886467599
544	0.3883636346
545	0.3881316271
546	0.3877725245
547	0.3876326858
548	0.3871550903
549	0.3868233119
550	0.3866996686
551	0.3864598847
552	0.3862962184
553	0.3858435912
554	0.3856874949
555	0.3852431713
556	0.385015856
557	0.3847042088
558	0.3843073292
559	0.3842438837
560	0.3837761198
561	0.3834481189
562	0.3828515424
563	0.3825252063
564	0.3824630787
565	0.3824402441
566	0.3822241664
567	0.3819389431
568	0.3816589248
569	0.3814221331
570	0.3813129194
571	0.3810043955
572	0.3807185102
573	0.3805902673
574	0.3802839737
575	0.3800181276
576	0.3796445015
577	0.379375284
578	0.3792152293
579	0.3789679437
580	0.378706701
581	0.3786055466
582	0.3784358384
583	0.3782884287
584	0.3780848188
585	0.3777558812
586	0.3773158968
587	0.3770775279
588	0.3770000895
589	0.3768050305
590	0.3766695722
591	0.3764631014
592	0.3762424694
593	0.3756687405
594	0.3755260929
595	0.3754977137
596	0.3750171702
597	0.3743879024
598	0.3741612949
599	0.3738230988
600	0.3737346709
601	0.3734165735
602	0.3732171935
603	0.3728816165
604	0.3724773575
605	0.3722410768
