iter	Passed	Remaining
399	39031	107335
400	39138	107263
401	39226	107139
402	39342	107092
403	39432	106974
404	39528	106873
405	39624	106770
406	39728	106690
407	39815	106566
408	39908	106454
409	40003	106351
410	40103	106260
411	40199	106157
412	40291	106044
413	40390	105951
414	40486	105849
415	40578	105736
416	40673	105634
417	40768	105529
418	40865	105430
419	40962	105332
420	41066	105252
421	41160	105143
422	41258	105047
423	41354	104946
424	41460	104871
425	41555	104766
426	41653	104670
427	41739	104543
428	41837	104446
429	41928	104334
430	42026	104237
431	42135	104169
432	42236	104078
433	42329	103970
434	42441	103908
435	42539	103811
436	42631	103700
437	42715	103570
438	42811	103468
439	42903	103357
440	43008	103278
441	43102	103172
442	43193	103059
443	43283	102944
444	43369	102819
445	43470	102731
446	43564	102626
447	43660	102525
448	43752	102414
449	43845	102305
450	43934	102189
451	44026	102080
452	44135	102008
453	44229	101903
454	44323	101798
455	44421	101701
456	44513	101592
457	44613	101499
458	44703	101386
459	44794	101274
460	44893	101181
461	44985	101071
462	45086	100982
463	45179	100875
464	45271	100766
465	45367	100664
466	45456	100548
467	45557	100459
468	45671	100399
469	45771	100307
470	45905	100289
471	46001	100189
472	46091	100075
473	46181	99963
474	46282	99871
475	46375	99765
476	46465	99653
477	46556	99540
478	46674	99487
479	46775	99397
480	46871	99296
481	46986	99236
482	47192	99369
483	47291	99273
484	47380	99157
485	47474	99051
486	47573	98956
487	47668	98853
488	47789	98804
489	47888	98708
490	48004	98649
491	48101	98550
492	48206	98466
493	48302	98364
494	48401	98269
495	48499	98172
496	48587	98054
497	48690	97967
498	48807	97908
499	48910	97821
500	49026	97759
501	49124	97661
502	49230	97579
503	49328	97481
504	49420	97373
505	49507	97253
506	49611	97168
507	49719	97089
508	49841	97039
509	49936	96936
510	50038	96845
511	50134	96743
512	50219	96621
513	50310	96510
514	50401	96399
515	50514	96329
516	50640	96285
517	50738	96187
518	50858	96130
519	50966	96052
520	51068	95962
521	51166	95864
522	51264	95765
523	51356	95655
524	51444	95540
525	51535	95429
526	51629	95324
527	51717	95207
528	51810	95100
529	51904	94995
530	52009	94909
531	52105	94807
532	52198	94701
533	52290	94592
534	52385	94488
535	52482	94390
536	52585	94300
537	52677	94193
538	52777	94098
539	52871	93993
540	52964	93887
541	53073	93809
